Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,IP
80,86736279,8,4,56,11601,20,0,7.0,5.656854249,7215,0,2900.25,3540.00286,134.3958968,0.138350413,7885116.273,25100000.0,83400000,36,85900000,12300000.0,31400000.0,83400000,234,818618,272872.6667,463509.803,808055,159,0,0,0,0,172,92,0.092233608,0.046116804,0,7215,897.1538462,2250.514898,5064817.308,0,0,0,0,1,0,0,0,0,971.9166667,7.0,2900.25,172,0,0,0,0,0,0,8,56,4,11601,256,229,6,20,2475002.0,0.0,2475002,2475002,83400000.0,0.0,83400000,83400000,DDoS,10.192.245.38
80,82224511,8,7,56,11607,20,0,7.0,5.656854249,4380,0,1658.142857,1964.053328,141.8433489,0.182427354,5873179.357,21900000.0,82000000,2,82100000,11700000.0,31000000.0,82000000,86,171190,28531.66667,69330.84263,170051,2,0,0,0,0,172,152,0.097294589,0.085132765,0,4380,729.3125,1502.917195,2258760.096,0,0,0,0,1,0,0,0,0,777.9333333,7.0,1658.142857,172,0,0,0,0,0,0,8,56,7,11607,256,229,6,20,36118.0,0.0,36118,36118,82000000.0,0.0,82000000,82000000,DDoS,192.168.8.183
80,10903695,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,2.751360892,0.458560149,2725923.75,5451180.187,10900000,1,10900000,2725923.75,5451180.187,10900000,1,0,0.0,0.0,0,0,0,0,0,0,100,0,0.458560149,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1001.0,0.0,1001,1001,10900000.0,0.0,10900000,10900000,DDoS,10.207.238.162
80,84268687,8,5,56,11607,20,0,7.0,5.656854249,10220,0,2321.4,4455.182578,138.4025362,0.154268453,7022390.583,21000000.0,73000000,1,82600000,11800000.0,27200000.0,73000000,1,1654078,413519.5,826417.7294,1653146,2,0,0,0,0,172,112,0.094934433,0.05933402,0,10220,833.5,2726.136143,7431818.269,0,0,0,0,1,0,0,0,0,897.6153846,7.0,2321.4,172,0,0,0,0,0,0,8,56,5,11607,256,229,6,20,1000.0,0.0,1000,1000,41300000.0,44800000.0,73000000,9643868,DDoS,172.20.192.43
80,11169771,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.148656405,0.358109401,3723257.0,6448012.947,11200000,4,11200000,3723257.0,6448012.947,11200000,4,0,0.0,0.0,0,0,0,0,0,0,80,0,0.358109401,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,990.0,0.0,990,990,11200000.0,0.0,11200000,11200000,DDoS,10.191.198.240
80,1837916,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,6329.4514,4.896850563,229739.5,649571.5371,1837347,1,435,217.5,306.1772363,434,1,1837895,367579.0,821625.3093,1837347,3,0,0,0,0,72,132,1.632283521,3.264567042,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,10.196.210.117
80,2026968,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,14.80043099,2.466738498,506742.0,1011485.66,2023970,3,2026968,506742.0,1011485.66,2023970,3,0,0.0,0.0,0,0,0,0,0,0,100,0,2.466738498,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,10.232.236.163
80,664355,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,17510.21668,10.53653544,110725.8333,270725.6462,663342,5,948,474.0,432.7493501,780,168,664276,221425.3333,382711.3385,663342,5,0,0,0,0,72,92,4.515658044,6.020877392,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,192.168.36.151
80,7583815,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.164634158,0.527439026,2527938.333,4376795.107,7581826,989,7583815,2527938.333,4376795.107,7581826,989,0,0.0,0.0,0,0,0,0,0,0,80,0,0.527439026,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1989.0,0.0,1989,1989,7581826.0,0.0,7581826,7581826,DDoS,172.31.255.121
80,417834,2,5,20,11607,20,0,10.0,14.14213562,5840,0,2321.4,3173.373883,27826.84032,16.75306461,69639.0,169384.4131,415390,28,2047,2047.0,0.0,2047,2047,417791,104447.75,207296.6629,415390,179,0,0,0,0,52,112,4.78658989,11.96647472,0,5840,1453.375,2681.356423,7189672.268,0,0,0,1,0,0,0,0,2,1661.0,10.0,2321.4,52,0,0,0,0,0,0,2,20,5,11607,8192,229,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,172.18.153.151
